Cluster ID,Label,Comment,Slope
0 in 2019,Öffentliches Recht,,
1 in 2019,Zivilrecht,,
2 in 2019,Sozialrecht,,
3 in 2019,Steuerrecht,,
4 in 2018,Strafrecht,,
5 in 2013,Zivilrecht (Familienrecht),,
6 in 2013,Zivilrecht (Erbrecht),,
